Animal,Symptom 2,Temperature,Symptom 3,Age,Symptom 1,Disease
cow,painless lumps,103.1,loss of appetite,3.0,depression,pneumonia
buffalo,loss of appetite,104.5,depression,13.0,painless lumps,lumpy virus
sheep,painless lumps,100.5,loss of appetite,1.0,depression,lumpy virus
cow,swelling in limb,100.3,crackling sound,14.0,loss of appetite,blackleg
sheep,loss of appetite,103.6,depression,2.0,painless lumps,pneumonia
goat,blisters on gums,101.2,difficulty walking,10.0,loss of appetite,foot and mouth
sheep,depression,103.3,painless lumps,6.0,loss of appetite,lumpy virus
goat,blisters on tongue,101.7,loss of appetite,6.0,difficulty walking,foot and mouth
buffalo,painless lumps,102.5,loss of appetite,9.0,depression,lumpy virus
goat,blisters on mouth,102.7,loss of appetite,3.0,lameness,foot and mouth
sheep,depression,104.1,loss of appetite,1.0,painless lumps,pneumonia
cow,painless lumps,103.9,loss of appetite,11.0,depression,lumpy virus
goat,swelling in extremities,100.3,shortness of breath,10.0,chills,anthrax
sheep,swelling in limb,100.3,lameness,10.0,depression,blackleg
sheep,sores on mouth,100.0,loss of appetite,1.0,difficulty walking,foot and mouth
sheep,lameness,103.1,depression,6.0,crackling sound,blackleg
sheep,sores on tongue,102.3,difficulty walking,7.0,loss of appetite,foot and mouth
buffalo,difficulty walking,100.5,loss of appetite,11.0,sores on gums,foot and mouth
buffalo,sweats,100.3,shortness of breath,15.0,fatigue,anthrax
cow,sweats,102.7,chills,14.0,shortness of breath,anthrax
cow,loss of appetite,103.7,painless lumps,1.0,depression,lumpy virus
sheep,painless lumps,102.3,depression,1.0,loss of appetite,lumpy virus
cow,loss of appetite,100.8,depression,14.0,painless lumps,lumpy virus
sheep,loss of appetite,101.9,depression,2.0,painless lumps,lumpy virus
cow,swelling in extremities,101.9,shortness of breath,7.0,chest discomfort,anthrax
goat,painless lumps,102.9,depression,6.0,loss of appetite,lumpy virus
cow,depression,100.3,painless lumps,12.0,loss of appetite,lumpy virus
sheep,painless lumps,103.4,loss of appetite,10.0,depression,pneumonia
buffalo,sweats,101.3,swelling in extremities,1.0,shortness of breath,anthrax
sheep,blisters on gums,101.3,loss of appetite,5.0,difficulty walking,foot and mouth
cow,sores on hooves,102.7,lameness,2.0,loss of appetite,foot and mouth
goat,shortness of breath,101.7,chills,1.0,chest discomfort,anthrax
sheep,sweats,101.3,swelling in extremities,5.0,fatigue,anthrax
sheep,sores on mouth,102.9,difficulty walking,10.0,loss of appetite,foot and mouth
buffalo,loss of appetite,104.4,crackling sound,10.0,swelling in limb,blackleg
sheep,painless lumps,101.9,depression,3.0,loss of appetite,pneumonia
buffalo,depression,102.9,painless lumps,14.0,loss of appetite,lumpy virus
goat,shortness of breath,102.6,fatigue,7.0,swelling in abdomen,anthrax
cow,crackling sound,100.3,difficulty walking,2.0,swelling in limb,blackleg
goat,shortness of breath,100.1,chest discomfort,6.0,swelling in abdomen,anthrax
goat,loss of appetite,103.3,depression,6.0,painless lumps,lumpy virus
sheep,loss of appetite,100.5,difficulty walking,10.0,sores on gums,foot and mouth
cow,loss of appetite,103.0,difficulty walking,10.0,blisters on gums,foot and mouth
sheep,loss of appetite,103.3,depression,3.0,painless lumps,pneumonia
sheep,depression,101.8,loss of appetite,7.0,painless lumps,pneumonia
buffalo,depression,100.6,painless lumps,4.0,loss of appetite,pneumonia
sheep,depression,102.3,loss of appetite,8.0,painless lumps,pneumonia
buffalo,loss of appetite,104.7,depression,3.0,painless lumps,pneumonia
sheep,chest discomfort,104.7,chills,2.0,shortness of breath,anthrax
buffalo,depression,104.7,loss of appetite,9.0,painless lumps,lumpy virus
cow,loss of appetite,100.2,depression,2.0,painless lumps,lumpy virus
goat,depression,102.8,painless lumps,9.0,loss of appetite,pneumonia
buffalo,shortness of breath,100.9,chills,13.0,fatigue,anthrax
sheep,painless lumps,100.3,depression,4.0,loss of appetite,lumpy virus
cow,sweats,104.8,fatigue,11.0,swelling in extremities,anthrax
goat,chills,104.6,swelling in extremities,10.0,chest discomfort,anthrax
goat,painless lumps,101.4,loss of appetite,3.0,depression,pneumonia
buffalo,chills,104.3,chest discomfort,5.0,fatigue,anthrax
sheep,depression,103.8,swelling in limb,1.0,lameness,blackleg
cow,painless lumps,104.2,depression,11.0,loss of appetite,pneumonia
buffalo,depression,103.6,swelling in limb,13.0,crackling sound,blackleg
goat,loss of appetite,102.8,depression,5.0,painless lumps,lumpy virus
sheep,swelling in abdomen,100.4,chills,6.0,shortness of breath,anthrax
sheep,loss of appetite,103.2,painless lumps,3.0,depression,lumpy virus
buffalo,painless lumps,102.4,depression,9.0,loss of appetite,pneumonia
goat,lameness,105.0,loss of appetite,6.0,depression,blackleg
goat,sores on gums,103.7,difficulty walking,9.0,loss of appetite,foot and mouth
cow,swelling in muscle,103.0,loss of appetite,11.0,crackling sound,blackleg
sheep,loss of appetite,103.0,depression,2.0,painless lumps,lumpy virus
goat,difficulty walking,102.2,crackling sound,9.0,swelling in muscle,blackleg
sheep,sores on tongue,104.4,difficulty walking,9.0,loss of appetite,foot and mouth
cow,loss of appetite,104.8,lameness,2.0,swelling in muscle,blackleg
buffalo,lameness,101.3,loss of appetite,2.0,blisters on hooves,foot and mouth
buffalo,loss of appetite,101.4,painless lumps,15.0,depression,pneumonia
goat,depression,104.5,painless lumps,6.0,loss of appetite,lumpy virus
buffalo,fatigue,103.2,sweats,13.0,shortness of breath,anthrax
sheep,sores on mouth,101.0,difficulty walking,3.0,loss of appetite,foot and mouth
cow,sweats,100.2,swelling in extremities,3.0,chest discomfort,anthrax
buffalo,blisters on mouth,103.3,loss of appetite,11.0,lameness,foot and mouth
sheep,difficulty walking,102.8,blisters on mouth,8.0,loss of appetite,foot and mouth
buffalo,difficulty walking,102.9,loss of appetite,11.0,sores on gums,foot and mouth
buffalo,blisters on mouth,103.8,loss of appetite,5.0,lameness,foot and mouth
goat,swelling in neck,103.8,chills,3.0,chest discomfort,anthrax
cow,loss of appetite,104.8,depression,12.0,painless lumps,pneumonia
buffalo,depression,102.2,loss of appetite,1.0,painless lumps,lumpy virus
buffalo,crackling sound,101.9,loss of appetite,11.0,swelling in limb,blackleg
buffalo,sores on tongue,101.8,difficulty walking,8.0,loss of appetite,foot and mouth
goat,painless lumps,100.9,loss of appetite,8.0,depression,lumpy virus
sheep,loss of appetite,100.4,difficulty walking,6.0,blisters on tongue,foot and mouth
goat,lameness,102.1,crackling sound,10.0,loss of appetite,blackleg
sheep,painless lumps,104.9,loss of appetite,3.0,depression,pneumonia
cow,loss of appetite,101.6,painless lumps,12.0,depression,lumpy virus
goat,depression,102.5,painless lumps,1.0,loss of appetite,lumpy virus
cow,difficulty walking,100.2,loss of appetite,5.0,sores on gums,foot and mouth
sheep,difficulty walking,101.0,sores on mouth,9.0,loss of appetite,foot and mouth
sheep,loss of appetite,102.4,painless lumps,8.0,depression,lumpy virus
buffalo,lameness,102.6,loss of appetite,12.0,sores on tongue,foot and mouth
buffalo,difficulty walking,101.2,depression,13.0,loss of appetite,blackleg
cow,painless lumps,102.9,depression,12.0,loss of appetite,lumpy virus
sheep,chills,103.7,shortness of breath,3.0,sweats,anthrax
goat,painless lumps,103.8,depression,4.0,loss of appetite,pneumonia
buffalo,sweats,100.4,chills,12.0,shortness of breath,anthrax
buffalo,loss of appetite,100.2,depression,10.0,painless lumps,pneumonia
cow,depression,101.9,painless lumps,1.0,loss of appetite,lumpy virus
sheep,loss of appetite,100.4,depression,1.0,painless lumps,pneumonia
sheep,depression,101.5,painless lumps,8.0,loss of appetite,pneumonia
sheep,loss of appetite,103.4,depression,6.0,painless lumps,lumpy virus
buffalo,depression,101.2,loss of appetite,13.0,painless lumps,pneumonia
buffalo,painless lumps,101.2,loss of appetite,9.0,depression,lumpy virus
goat,difficulty walking,104.3,loss of appetite,4.0,blisters on hooves,foot and mouth
cow,lameness,101.3,depression,9.0,crackling sound,blackleg
buffalo,loss of appetite,104.5,painless lumps,2.0,depression,pneumonia
buffalo,crackling sound,100.4,loss of appetite,15.0,swelling in muscle,blackleg
cow,fatigue,102.1,chills,11.0,sweats,anthrax
cow,lameness,101.8,crackling sound,15.0,swelling in muscle,blackleg
cow,painless lumps,103.0,loss of appetite,4.0,depression,lumpy virus
cow,depression,103.8,painless lumps,2.0,loss of appetite,lumpy virus
sheep,crackling sound,100.2,swelling in limb,3.0,difficulty walking,blackleg
sheep,painless lumps,101.9,depression,8.0,loss of appetite,lumpy virus
goat,blisters on hooves,102.6,loss of appetite,5.0,difficulty walking,foot and mouth
sheep,difficulty walking,100.2,depression,6.0,crackling sound,blackleg
sheep,sores on tongue,100.9,loss of appetite,8.0,lameness,foot and mouth
goat,fatigue,102.0,swelling in abdomen,8.0,chills,anthrax
cow,blisters on hooves,104.5,loss of appetite,14.0,difficulty walking,foot and mouth
buffalo,loss of appetite,101.3,depression,3.0,painless lumps,lumpy virus
buffalo,loss of appetite,103.6,depression,4.0,painless lumps,pneumonia
sheep,swelling in abdomen,101.0,fatigue,4.0,shortness of breath,anthrax
buffalo,difficulty walking,102.0,loss of appetite,10.0,blisters on tongue,foot and mouth
buffalo,painless lumps,101.7,depression,12.0,loss of appetite,pneumonia
cow,chills,102.9,shortness of breath,15.0,swelling in abdomen,anthrax
cow,loss of appetite,102.1,depression,15.0,painless lumps,lumpy virus
buffalo,fatigue,102.6,chest discomfort,14.0,sweats,anthrax
buffalo,loss of appetite,103.7,depression,8.0,painless lumps,pneumonia
cow,blisters on gums,102.1,loss of appetite,3.0,difficulty walking,foot and mouth
cow,painless lumps,104.5,depression,7.0,loss of appetite,pneumonia
sheep,chills,104.0,chest discomfort,8.0,fatigue,anthrax
cow,loss of appetite,101.2,painless lumps,5.0,depression,pneumonia
sheep,depression,100.4,difficulty walking,3.0,crackling sound,blackleg
goat,depression,102.4,loss of appetite,1.0,painless lumps,lumpy virus
cow,loss of appetite,102.4,difficulty walking,12.0,crackling sound,blackleg
cow,depression,100.2,painless lumps,5.0,loss of appetite,pneumonia
goat,painless lumps,102.0,loss of appetite,2.0,depression,lumpy virus
goat,lameness,104.7,blisters on tongue,7.0,loss of appetite,foot and mouth
cow,difficulty walking,102.4,swelling in muscle,5.0,loss of appetite,blackleg
cow,depression,102.2,loss of appetite,4.0,painless lumps,pneumonia
buffalo,sores on gums,104.4,loss of appetite,13.0,difficulty walking,foot and mouth
goat,loss of appetite,104.2,painless lumps,7.0,depression,pneumonia
cow,painless lumps,104.1,loss of appetite,3.0,depression,lumpy virus
sheep,depression,103.9,painless lumps,6.0,loss of appetite,pneumonia
sheep,painless lumps,100.5,depression,9.0,loss of appetite,pneumonia
goat,painless lumps,101.1,depression,2.0,loss of appetite,pneumonia
sheep,chest discomfort,101.8,chills,10.0,sweats,anthrax
sheep,chest discomfort,100.0,chills,3.0,fatigue,anthrax
sheep,depression,103.5,crackling sound,3.0,swelling in limb,blackleg
goat,loss of appetite,101.3,painless lumps,9.0,depression,pneumonia
cow,depression,103.2,painless lumps,1.0,loss of appetite,pneumonia
buffalo,depression,101.0,loss of appetite,3.0,painless lumps,lumpy virus
goat,swelling in extremities,101.0,chills,6.0,chest discomfort,anthrax
sheep,depression,101.1,painless lumps,5.0,loss of appetite,pneumonia
sheep,loss of appetite,100.1,painless lumps,1.0,depression,lumpy virus
sheep,depression,101.5,crackling sound,4.0,swelling in limb,blackleg
goat,loss of appetite,101.0,lameness,4.0,sores on hooves,foot and mouth
goat,chills,101.2,sweats,7.0,chest discomfort,anthrax
buffalo,loss of appetite,101.8,difficulty walking,1.0,sores on hooves,foot and mouth
cow,blisters on mouth,100.7,difficulty walking,2.0,loss of appetite,foot and mouth
goat,shortness of breath,101.6,chills,7.0,sweats,anthrax
cow,fatigue,104.1,swelling in abdomen,13.0,sweats,anthrax
buffalo,chills,101.6,chest discomfort,12.0,shortness of breath,anthrax
